Nombre,Estilo,País,País Ingles,Alcohol,Color,Amargor,Descripcion,Descripcion ingles,Disponible,Imagen,Artesanal,Tipo,Recomendada,Formato,Precio,formato 2,precio 2,formato 3,precio 3,Sin gluten,Aparece,Barril
Peroni Gran Riserva,Doppio Matla,Italia 🇮🇹,Italy 🇮🇹,"6,6%",,25 IBU,,,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1624611697/wib4drynjvqbsska8lbw.png,No,Tostada-Brown,No,50 cl (Botella) - 50 cl (Bottle),"5,80 €",,,,,,SÍ,No
Pilsner Urquell,Pilsner,República Checa 🇨🇿,Czech Republic 🇨🇿,"4,4%",,40 IBU,,,Sí,https://i.ibb.co/9vzK22x/pilsner-urquell-436644-e.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,60 €",,,,,,SÍ,No
Piraat,Belgian Strong Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"10,5%",,23 IBU,,,Sí,https://i.ibb.co/pr3zwp5/piraat-33cl.png,No,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"5,00 €",,,,,,SÍ,No
Primator 11 Lezak,Lager,República Checa 🇨🇿,Czech Republic 🇨🇿,"4,7%",13 EBC,31 IBU,"Una auténtica experiencia cervecera, que recuerda con cada sorbo por que la lager checa ha conquistado el mundo. Rico y pleno sabor, hermoso color dorado, densa espuma cremosa, intensa nitidez y el distintivo pero sutil amargor te hacen saborearla una y otra y otra vez.","A genuine beer experience, which reminds you with every sip why Czech lager has conquered the world. Rich full flavour, beautiful golden colour, dense creamy foam, intense sharpness and the distinctive yet subtle bitterness make you taste again and again and again.",Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1620381442/wtd7hzzn4lghebguid2z.png,Sí,Rubia-Blond,No,50 cl (Botella) - 50 cl (Bottle),"7,60 €",,,,,,SÍ,No
Primator PREMIUM Lager,Lager,República Checa 🇨🇿,Czech Republic 🇨🇿,"5,0%",17 EBC,30 IBU,"La cervecería Primátor fue fundada en 1872 en la cuidad de Nachod, situada en el Nordeste de Bohemia, cerca de la frontera con Polonia.En la elaboración de las cervezas solo utilizan ingredientes checos, incluyendo maltas de Moravia del sur y agua de manantial de un lago subterráneo en el parque nacional de Ardpach. Su dueño sigue siendo la ciudad de Nachod y pese a ser una empresa municipal es la  cervecería más innovadora de la República Checa. En 2010 la Primátor Premium gano el premio a la mejor lager del mundo de los prestigiosos World Beer Awards londinenses. Se trata de una lager dorada, ligeramente turbia y de baja carbonatación. Su espuma es blanca y con buena permanencia. El aroma malteado se mantiene en armonía con el lúpulo. Su sabor es pronunciado pero muy equilibrado con un discreto regusto amargo.

En resumen se trata de una cerveza redonda y muy equilibrada ideal para los amantes del amargor no muy intenso.","A genuine beer experience, which reminds you with every sip why Czech lager has conquered the world. Rich full flavour, beautiful golden colour, dense creamy foam, intense sharpness and the distinctive yet subtle bitterness make you taste again and again and again.",Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1622202112/uwkrsyfxt23fupuad6nz.png,No,Rubia-Blond,No,50 cl (Botella) - 50 cl (Bottle),"7,40 €",,,,,,SÍ,No
Purple Panther,Berliner Weisse,Estonia 🇪🇪,Estonia 🇪🇪,"5,5%",,,,,No,https://i.ibb.co/PzqjCPS/purplepanther.png,Sí,Afrutada-Fruit flavoured,No,33 cl (Lata) - 33 cl ( Canned),"5,20 €",,,,,,No,No
Raging Bitch,Belgian IPA,USA 🇺🇸,USA 🇺🇸,"8,3%",,,,,Sí,https://i.ibb.co/93RFhMm/raging-bitch.png,Sí,IPA-IPA,No,"35,5 cl (botella) - 35,5 cl (Bottle)","5,20 €",,,,,,SÍ,No
Rochefort Trappistes 8,Belgian Dark Strong Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"9,2%",,22 IBU,,,Sí,https://i.ibb.co/J7BqmRg/rochefor-8.png,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"5,70 €",,,,,,SÍ,No
Roots LA QUINCE,American Amber Ale,España 🇪🇸,Spain 🇪🇸,"5,5%",,45 IBU,"Para celebrar 2021 vuelve la hoppy amber ale de LA QUINCE en una nueva versión, elaborada con lúpulos Citra y Mosaic en formato BBC que incrementan la intensidad de aromas, resinas y aceites esenciales incrementando la intensidad.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1609759393/gskbuzkyke7uopbn3r8q.png,Si,Tostada-Brown,No,44 cl (Lata) - 44 cl (Canned),"9,10 €",,,,,,SÍ,No
Saint Louis Framboise ,Lambic,Bélgica 🇧🇪,Belgium 🇧🇪,"2,5%",,,,,Sí,https://i.ibb.co/sQz7P2B/framboise.png,No,Afrutada-Fruit flavoured,No,25 cl (Botella) - 25 cl (Bottle),"3,90 €",,,,,,SÍ,No
Samuel Smith's Imperial,Imperial Stout,Inglaterra 🇬🇧,England 🇬🇧,"7,0%",,35 IBU,,,Sí,https://i.ibb.co/6RXSgHr/Samuel-Smith-Imperial-Stout.png,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"5,10 €",,,,,,SÍ,No
Samuel Smith's Winter Welcome,Ale,Inglaterra 🇬🇧,England 🇬🇧,"6,0%",,,,,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1608287344/visa1phusgeebywlwncm.png,No,Tostada-Brown,No,550 ml (Botella) - 550 ml  (Bottle),"9,30 €",,,,,,SÍ,No
"San Frutos ""133""",Kettle Sour Ale,España 🇪🇸,Spain 🇪🇸,"5,0%",,12 IBU,"Un aroma vibrante a grosella negra, con un toque láctico.Lúpulos Columbus, Ekuanot y Motueka",,Si,https://i.ibb.co/F8NLqg0/133-1024x-1.png,Sí,Frikis-Freaks,No,44 cl (Lata) - 44 cl (Canned),"7,80 €",,,,,,SÍ,No
San Frutos Invasión,Imperial IPA,España 🇪🇸,Spain 🇪🇸,"8,4%",,70 IBU,Medalla de Plata - El Barrilito de Oro Panamá - American Porter and Staut,Silver - El Barrilito de Oro Panamá - American Porter and Staut,Sí,https://i.ibb.co/d0JycfP/San-Frutos-INVASION-1.png,Sí,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"5,30 €",,,,,,SÍ,No
San Frutos Vikingathor,Indian Dunkel,España 🇪🇸,Spain 🇪🇸,"8,2%",,75 IBU,"Con receta original de Boris de Mesones, uno de los  ""POPES"" del panorama Craft a nivel mundial.",,Sí,https://i.ibb.co/gJYkzf9/boris-sanfrutos-vikingathor-720.jpg,Sí,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"5,20 €",,,,,,SÍ,No
San Miguel 1516,Pilsner,España 🇪🇸,Spain 🇪🇸,"4,2%",9 EBC,29 IBU,,,Sí,https://i.ibb.co/wcd0nRb/1516.pngq,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,10 €",,,,,,SÍ,No
San Miguel Magna,Golden Lager,España 🇪🇸,Spain 🇪🇸,"5,7%",12 EBC,27 IBU,,,Sí,https://i.ibb.co/mbyvpV2/cerveza-san-miguel-magna-57-33cl.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,60 €",,,,,,SÍ,No
San Miguel Magna Roja 0.0,Rubia sin alcohol,España 🇪🇸,Spain 🇪🇸,"0,0%",,,,,Sí,https://i.ibb.co/bd6LnBF/sanmiguel-magna-roja.jpg,No,Rubia-Blond,No,33 cl (botella) - 33 cl (Bottle),"3,00 €",,,,,,SÍ,No
San Miguel Radler,Radler,España 🇪🇸,Spain 🇪🇸,"3,2%",6 EBC,11 IBU,,,Si,https://i.ibb.co/yfWLxt6/sanmiguel-radler.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,10 €",(Caña)-(Small),"2,00 €",(Pinta)-(Pint),"4,00 €",,SÍ,No
San Miguel Selecta,Märzen  ,España 🇪🇸,Spain 🇪🇸,"6,2%",,32 IBU,u maduración en bodega le confiere un excepcional aroma y un sabor intenso. Elegida por los consumidores como “Sabor del Año” en las ediciones de 2010 y 2011,,Sí,https://i.ibb.co/s5qJQBB/San-Miguel-Selecta-XV.jpg,No,Tostada-Brown,No,(Caña)-(Small),"2,00 €",(Pinta)-(Pint),"4,00 €",(Superpinta)-(Superpint),"8,00 €",,SÍ,Sí
San Miguel Sin Gluten,Pale Lager,España 🇪🇸,Spain 🇪🇸,"5,4%",8 EBC,28 IBU,,,Sí,https://i.ibb.co/sJJkYkw/df99eec9089194cca999e807fb312dcc-ESCALA-EXPANDEIX-360-360.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,60 €",,,,,Sí,SÍ,No
San Miguel Yakima Valley IPA,IPA,España 🇪🇸,Spain 🇪🇸,"6,0%",11 EBC,37 IBU,,,Sí,https://i.ibb.co/zV4wP7w/sm-yakima-valley-226x770.png,No,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"4,50 €",,,,,,SÍ,No
Satan,Belgian Strong Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"8,0%",,,,,Sí,https://i.ibb.co/Fs7P1Qw/satan-red9.png,No,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"5,00 €",,,,,,SÍ,No
Satanás JR,Triple IPA,España 🇪🇸,Spain 🇪🇸,"10,0%",,65 IBU,"Probablemente la cerveza más lúpulada de la historía de La Quince hasta la fecha. TIPA elaborada con la técnica de DIP HOPPING originaria de Japón para lupulizar masivamente en Whirpool y Biotransformación para extraer los aromas volátiles más delicados del lúpulo y minimizar amargor. Completando el proceso con varias adiciones Cryo Hops en DH.  En total nada más y nada menos que 40 gr/L de Mosaic Cryo Hops, Sabro Cryo Hops, Citra BBC, Ahtanum, Amarillo y Citra Incognito. Maltas de cebada, trigo y avena. Todo esto se traduce en una explosión de aromas y sabores tropicales.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1620380185/sdxucyuvwjaewdozlolz.png,Sí,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"9,70 €",,,,,,SÍ,No
Schneider AVENTINUS,Weizen-doppelbock,Alemania 🇩🇪,Germany 🇩🇪,"8,2%",,30 IBU,"Para momentos dorados junto a la chimenea: ""Mein Aventinus"" - la cerveza de trigo de color rubí oscuro, intensa y ardiente, cálida, equilibrada y tierna. El ""Doppelbock"" de trigo más antiguo de Baviera, elaborado desde 1907. Su cuerpo robusto en combinación con su dulce aroma a malta es una invitación a una profunda indulgencia: una mezcla ingeniosa con un cuerpo fuerte. Combina perfectamente con platos rústicos, asados ​​oscuros y postres dulces.","For golden moments by the fireplace: ""Mein Aventinus"" - the wholehearted, dark ruby coloured wheat beer, intensive and fiery, warming, well-balanced and tender. Bavaria's oldest wheat ""Doppelbock"" - brewed since 1907! Its sturdy body in combination with its sweet malty aroma is an invitation to profound indulgence - an ingenious blend with a strong body. Perfectly matches rustic dishes, dark roasts and sweet desserts.",Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1620932031/ih2jwt6d9eods3vv6t1t.png,No,Trigo-White beer,No,50 cl (Botella) - 50 cl (Bottle),"5,95 €",,,,,,SÍ,No
Schöfferhofer,Trigo con pomelo,Alemania 🇩🇪,Germany 🇩🇪,"2,5%",,,GRAPEFRUIT cerveza rubia de trigo alemana con jugo de pomelo,,Sí,https://i.ibb.co/mGb576C/Sch-fferhofer.webp,No,Afrutada-Fruit flavoured,No,33 cl (botella) - 33 cl (Bottle),"3,50 €",,,,,,SÍ,No
"Sierra Nevada ""Celebration""",Fresh Hop IPA,USA 🇺🇸,USA 🇺🇸,"6,8%",38,65 IBU,"Esta cerveza es una de las primeras IPAs craft americanas. Elaborada cada año desde 1981 con la llegada de los primeros lúpulos frescos de la temporada, lo que siempre es motivo de celebración para el equipo de la cervecería Sierra Nevada. Las variedades de lúpulo Cascade, Centennial y Chinook usadas para su elaboración son las responsables de su intensa fragancia rebosante de frutas cítricas y recuerdos de bosque de pinos, convirtiéndola en una de las cervezas más populares de la Costa Oeste estadounidense y una de las pocas cervezas de perfil lupulado para disfrutar en las vacaciones de invierno.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1615544088/ijqhufyoujmp5zybxy61.png,Si,IPA-IPA,No,"35,5 cl (botella) - 35,5 cl (Bottle)","6,80 €",,,,,,SÍ,No
Sierra Nevada Torpedo,Extra IPA,USA 🇺🇸,USA 🇺🇸,"7,2%",,,,,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1601974145/ur0eukkemms6i6mrk5oo.png,Sí,IPA-IPA,No,"35,5 cl (botella) - 35,5 cl (Bottle)","6,40 €",,,,,,SÍ,No
