Nombre,Nombre ingles,Descripcion,Descripcion ingles,Tipo,Precio,precio 2,Altramuces,Apio,Cacahuete,Crustaceo,Gluten,Huevo,Lacteos,Moluscos,Mostaza,Nueces,Pescado,Sesamo,Soja,Sulfitos,Disponible
Café Jamaicano,Jamaican Coffee,,,Café y Te-Coffee & Tea,"6,00€","6,30€",,,,,,,,,,,,,,,Sí
Café Moka,Moka Coffee,,,Café y Te-Coffee & Tea,"3,80€","4,10€",,,,,,,,,,,,,,,Sí
Café Vienés,Viennesse Coffee,,,Café y Te-Coffee & Tea,"3,50€","3,80€",,,,,,,,,,,,,,,Sí
Capuccino,Capuccino,,,Café y Te-Coffee & Tea,"2,30€","2,60€",,,,,,,,,,,,,,,Sí
Carajillo,Carajillo,,,Café y Te-Coffee & Tea,"3,30€","3,60€",,,,,,,,,,,,,,,Sí
Frapuccino,Frapuccino,,,Café y Te-Coffee & Tea,"4,30€","4,60€",,,,,,,,,,,,,,,Sí
Latte Macciato,Latte Macciato,,,Café y Te-Coffee & Tea,"2,50€","2,80€",,,,,,,,,,,,,,,Sí
Spirit Macciato,Spirit Macciato,,,Café y Te-Coffee & Tea,"5,00€","5,30€",,,,,,,,,,,,,,,Sí
Erasmus Frapuccino,Erasmus Frapuccino,,,Café y Te-Coffee & Tea,"4,60€","4,90€",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Te Verde Hierbabuena,Peppermint Tea,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
Te Rooibos Albahaca,Rooibos Basil Tea,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
Te Verde China Gunpowder,Green China Gunpowder Tea,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
Te Menta,Mint Tea,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
Te Sbelt,Sbelt TEa,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
Rojo Pu-Erh Yunnan,Red Pu-Erh Yunnan Tea,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
Frutos del Bosque,Red Fruits Tea,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
Te Hierbabuena (fresca),Fresh Peppermint,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
Te Negro Canela,Black Cinnamon Tea,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
Te Vainilla,Vanilla Tea,,,Café y Te-Coffee & Tea,"2,40€","2,70€",,,,,,,,,,,,,,,Sí
,,,,,,,,,,,,,,,,,,,,,
Chocolate Negro,Black Chocolate,,,Café y Te-Coffee & Tea,"3,20€","3,50€",,,,,,,,,,,,,,,Sí
Chocolate Clásico,Classic Chocolate,,,Café y Te-Coffee & Tea,"3,20€","3,50€",,,,,,,,,,,,,,,Sí
Chocolate Menta,Mint Chocolate,,,Café y Te-Coffee & Tea,"3,20€","3,50€",,,,,,,,,,,,,,,Sí
Chocolate Blanco,White Chocolate,,,Café y Te-Coffee & Tea,"3,20€","3,50€",,,,,,,,,,,,,,,Sí
Chocolate Café,Coffee Chocolate,,,Café y Te-Coffee & Tea,"3,20€","3,50€",,,,,,,,,,,,,,,Sí
Chocolate de Naranja,Orange Chocolate,,,Café y Te-Coffee & Tea,"3,20€","3,50€",,,,,,,,,,,,,,,Sí
Chocolate Classic Fruits,Classic Fruits Chocolate,,,Café y Te-Coffee & Tea,"3,20€","3,50€",,,,,,,,,,,,,,,Sí
